genome	hoc	gene_count
A188_chrN	HOC000359	1
A188_chrN	HOC001471	1
A188_chrN	HOC001516	2
A188_chrN	HOC003999	3
A188_chrN	HOC004266	2
A188_chrN	HOC005133	1
A188_chrN	HOC005252	1
A188_chrN	HOC005697	1
A188_chrN	HOC005795	1
A188_chrN	HOC006000	1
A188_chrN	HOC006100	1
A188_chrN	HOC006280	1
A188_chrN	HOC006786	1
A188_chrN	HOC008249	1
A188_chrN	HOC009473	1
A188_chrN	HOC010400	2
A188_chrN	HOC027466	1
A188_chrN	HOC040581	2
A188_chrN	HOC040657	2
A188_chrN	HOC048344	1
A188_chrN	HOC050462	1
A188_chrN	HOC051089	1
A188_chrN	HOC055591	1
A188_chrN	HOC061505	1
A188_chrN	HOC062923	1
A188_chrN	HOC070715	1
A188_chrN	HOC071241	2
A188_chrN	HOC071600	1
A188_chrN	HOC072236	1
A188_chrN	HOC072985	1
A188_chrN	HOC073888	1
A188_chrN	HOC074765	1
A188_chrN	HOC075232	1
A188_chrN	HOC075477	1
A188_chrN	HOC075524	1
A188_chrN	HOC079328	1
A188_chrN	HOC079654	1
A188_chrN	HOC080042	1
A188_chrN	HOC080506	1
A188_chrN	HOC090996	1
A188_chrN	HOC091491	1
A188_chrN	HOC091687	1
A188_chrN	HOC099522	1
A188_chrN	HOC099648	1
A188_chrN	HOC130831	1
A188_chrN	HOC130999	1
A188_chrN	HOC169823	1
A188_chrN	HOC169929	1
A188_chrN	HOC170455	1
A188_chrN	HOC435248	1
A188_chrN	HOC435314	1
A188_chrN	HOC436337	1
A188_chrN	HOC436487	1
A188_chrN	HOC436602	1
A188_chrN	HOC436631	1
A188_chrN	HOC436865	1
A188_chrN	HOC437249	1
A188_chrN	HOC437622	1
A188_chrN	HOC437735	1
A188_chrN	HOC437952	1
A188_chrN	HOC438665	1
A188_chrN	HOC438722	1
A188_chrN	HOC439054	1
A188_chrN	HOC439233	1
A188_chrN	HOC441252	1
A188_chrN	HOC441253	1
A188_chrN	HOC441932	1
AY17_ChrN	HOC000359	7
AY17_ChrN	HOC000811	5
AY17_ChrN	HOC001177	3
AY17_ChrN	HOC001471	2
AY17_ChrN	HOC001516	1
AY17_ChrN	HOC003999	1
AY17_ChrN	HOC004266	1
AY17_ChrN	HOC005133	2
AY17_ChrN	HOC005252	1
AY17_ChrN	HOC005697	1
AY17_ChrN	HOC005795	1
AY17_ChrN	HOC006000	1
AY17_ChrN	HOC006100	1
AY17_ChrN	HOC006280	1
AY17_ChrN	HOC006786	1
AY17_ChrN	HOC008249	1
AY17_ChrN	HOC009473	1
AY17_ChrN	HOC010400	1
AY17_ChrN	HOC011076	1
AY17_ChrN	HOC011644	1
AY17_ChrN	HOC012251	1
AY17_ChrN	HOC013366	1
AY17_ChrN	HOC013787	1
AY17_ChrN	HOC016423	1
AY17_ChrN	HOC016437	1
AY17_ChrN	HOC017870	1
AY17_ChrN	HOC023151	5
AY17_ChrN	HOC023174	1
AY17_ChrN	HOC023932	1
AY17_ChrN	HOC029522	2
